,STATION,geo,CensusTract
274,LONGWOOD AV,"(40.68152000045683, -73.87962599910783)",36047117400
275,LORIMER ST,"(40.816029252510006, -73.91779152760981)",36005006500
276,MARBLE HILL-225,"(40.68286062551184, -73.90526176305106)",36047040500
277,MARCY AV,"(40.678822000873375, -73.92078599933306)",36047030100
278,METROPOLITAN AV,"(40.676998000003756, -73.89852600159652)",36047119800
279,METS-WILLETS PT,"(40.75462199881262, -73.8456249984179)",36081038302
280,MIDDLETOWN RD,"(40.676998000003756, -73.89852600159652)",36047119800
281,MONTROSE AV,"(40.676998000003756, -73.89852600159652)",36047119800
282,MORGAN AV,"(40.747768121414325, -73.94605470266329)",36081000700
283,MORISN AV/SNDVW,"(40.898286515575286, -73.8543153107622)",36005043400
284,MORRIS PARK,"(40.75172999941711, -73.85533399834884)",36081040100
285,MOSHOLU PKWY,"(40.76456552501829, -73.98072973372128)",36061013700
286,MT EDEN AV,"(40.676998000003756, -73.89852600159652)",36047119800
287,MYRTLE AV,"(40.676998000003756, -73.89852600159652)",36047119800
288,MYRTLE-WILLOUGH,"(40.75462199881262, -73.8456249984179)",36081038302
289,MYRTLE-WYCKOFF,"(40.75462199881262, -73.8456249984179)",36081038302
290,NASSAU AV,"(40.86807199999737, -73.91989900100465)",36061029300
291,NASSAU ST,"(40.898286515575286, -73.8543153107622)",36005043400
292,NECK RD,"(40.8418630412186, -73.87334609510884)",36005022000
293,NEPTUNE AV,"(40.86807199999737, -73.91989900100465)",36061029300
294,NEREID AV,"(40.6663149325969, -73.88411070800329)",36047112400
295,NEVINS ST,"(40.68442016526762, -73.97754993539385)",36047003500
296,NEW LOTS,"(40.762526000304575, -73.9679670004732)",36061011402
297,NEW LOTS AV,"(40.58538569133279, -73.82052058959523)",36081094201
298,NEW UTRECHT AV,"(40.85345300155693, -73.9076840015997)",36005024300
299,NEWARK BM BW,"(40.670342666584396, -73.95924499945693)",36047021300
300,NEWARK C,"(40.71407200064717, -73.95024799996972)",36047050100
301,NEWARK HM HE,"(40.670342666584396, -73.95924499945693)",36047021300
302,NEWARK HW BMEBE,"(40.6663149325969, -73.88411070800329)",36047112400
303,NEWKIRK AV,"(40.6663149325969, -73.88411070800329)",36047112400
304,NEWKIRK PLAZA,"(40.58538569133279, -73.82052058959523)",36081094201
305,NORTHERN BLVD,"(40.877839385172024, -73.86613410538703)",36005037800
306,NORWOOD 205 ST,"(40.903125000541245, -73.8506199987954)",36005043400
307,NORWOOD AV,"(40.8418630412186, -73.87334609510884)",36005022000
308,NOSTRAND AV,"(40.70289855287313, -73.81701287135405)",36081021600
309,OCEAN PKWY,"(40.73005400028978, -73.99106999861966)",36061005700
310,ORCHARD BEACH,"(40.83425499825462, -73.85122199961472)",36005020601
311,OZONE PK LEFFRT,"(40.82200799968475, -73.95367600087873)",36061022301
312,PARK PLACE,"(40.73005400028978, -73.99106999861966)",36061005700
313,PARKCHESTER,"(40.75172999941711, -73.85533399834884)",36081040100
314,PARKSIDE AV,"(40.59092700078133, -73.7969239998421)",36081095400
315,PARSONS BLVD,"(40.903125000541245, -73.8506199987954)",36005043400
316,PATH NEW WTC,"(40.903125000541245, -73.8506199987954)",36005043400
317,PATH WTC,"(40.86952599962676, -73.84638400151765)",36005035000
318,PATH WTC 2,"(40.68962700158444, -73.95352200064022)",36047024300
319,PAVONIA/NEWPORT,"(40.69242699966103, -73.86008700006875)",36081001200
320,PELHAM BAY PARK,"(40.8484800012369, -73.91179399884471)",36005021700
321,PELHAM PKWY,"(40.712645666744045, -73.78381700176453)",36081046800
322,PENNSYLVANIA AV,"(40.82652500055904, -73.8862829985325)",36005012102
323,PRESIDENT ST,"(40.71830605618619, -73.98740940202974)",36061001402
324,PRINCE ST,"(40.71880300107709, -74.00019299927328)",36061004500
325,PROSPECT AV,"(40.85345300155693, -73.9076840015997)",36005024300
326,PROSPECT PARK,"(40.70291899894902, -73.90758199885423)",36081054900
327,QUEENS PLAZA,"(40.58538569133279, -73.82052058959523)",36081094201
